,FID,id,Residential_300m,Commercial_300m,Av_traffic_300m,Roads_300m
104,35233,7067,282618.3637,0,0,834.6628058
105,22553,7159,148488.972,0,1659.612805,2917.025924
106,41231,7215,216556.0303,0,452.230517,4171.031349
107,26552,7228,113938.3159,44640.85823,1999.074862,4395.249907
108,51184,7297,131608.8859,0,224.6037807,1158.106773
109,38558,7299,114834.2844,0,10089.83106,5108.286929
110,34677,7361,260118.5734,0,0,3047.316033
111,42732,7392,228572.5689,0,279.4233633,3598.851323
112,31886,7399,186167.2887,28113.8879,3186.114468,4819.054216
113,48321,7548,78980.98386,66372.15612,2800.505085,4586.307882
114,31036,7615,489.3358317,0,60.88256992,1014.788267
115,50757,7663,0,0,0,0
116,29331,7703,0,0,0,81.74833271
117,40001,7738,0,0,0,0
118,45441,7844,231390.8992,0,1953.613605,3902.163166
119,37676,7855,0,0,5198.736518,3491.980273
120,38285,8314,234373.037,40205.22029,1107.129951,3731.029553
121,47186,8575,0,0,202.6836084,499.691881
122,37856,8798,5458.317459,0,10.14878354,0
123,43857,8811,0,0,603.1035342,1056.591483
124,34578,8938,143558.3896,17458.063,1202.70876,2262.811249
125,30869,8948,0,0,1224.276148,2469.25307
126,43474,9391,0,0,0,0
127,34934,9489,228782.1304,0,516.6496847,4729.413327
128,50786,9559,90445.40116,0,27.12718054,1823.874988
129,51178,9578,109614.482,0,113.8865444,2386.568785
130,40969,9798,116812.8768,0,436.0699072,2485.005617
131,51347,9846,259266.8518,0,190.1024706,3653.742014
132,51107,9895,140960.2188,0,821.872095,3313.6517
133,51701,9925,0,0,0,0
134,33586,10022,0,0,0,814.9002492
135,38610,10057,266278.7935,0,2255.675861,4521.206349
136,46756,10072,0,0,1556.542221,2311.49066
137,38637,10082,0,0,60.76995946,815.2042874
138,43832,10085,0,0,0,0
139,38233,10197,158558.3812,0,555.3989024,2341.109045
140,51552,10199,282618.3637,0,168.6875121,4160.898882
141,47112,10574,0,0,59.37818931,765.4518166
142,51256,10671,0,0,0,0
143,40956,10691,185984.7225,0,753.8914283,2522.275165
144,40963,10790,22383.90205,0,2.231711969,592.4067617
145,42421,10862,556.0238433,0,1471.944265,1221.24869
146,46597,10868,271451.0656,0,245.5643323,2473.648737
147,45300,10976,99367.86576,0,532.6725293,4883.441984
148,46095,11231,264518.701,0,1249.867437,3953.513771
149,42536,11318,240487.4353,0,150.618979,3435.634575
150,40319,11424,282601.5374,0,156.2503165,3709.774507
151,24058,11483,282618.3637,0,130.1714462,3032.716245
152,46958,11785,0,0,128.459392,1129.143847
153,44528,12004,0,0,36.51152677,954.1052237
154,47606,12174,282362.46,0,0,3562.772965
155,48532,12515,231325.3849,0,89.29749113,4202.327942
156,51269,12741,93828.84075,0,3742.276499,2107.946
157,46314,12801,0,0,0,0
158,51639,12914,0,0,0,1384.683781
159,28939,13045,59578.843,0,1.942997645,546.5562843
160,39810,13086,192959.344,0,22.86887953,3824.239101
161,43933,13259,241026.4471,0,815.7833504,4030.515568
162,22647,13398,42733.44079,0,1.782331459,991.1530787
163,39577,13457,235754.5334,0,26.56981703,2785.593276
164,39163,13477,282618.3637,0,0,2327.011423
165,41396,13538,3332.659426,0,137.1270227,2087.770666
166,45848,13573,77923.74368,0,438.4623439,2035.482201
167,51479,13821,2001.517987,0,0,452.3524768
168,27520,13852,6528.745998,0,5969.130548,3531.380292
169,46785,13859,0,0,10.14076603,819.8989818
170,36101,13882,150751.3685,0,155.4930401,3715.308405
171,45917,13963,0,0,0,184.8848895
172,46545,13978,172772.5754,0,166.4014989,2558.901985
173,41953,14013,92476.37872,0,510.6509607,3545.060212
174,32897,14105,0,0,0,1126.338514
